file,main,res,task,f,corpus
EN2002c.Mix-Headset,0.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002d.Mix-Headset,60.29,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002d.Mix-Headset,45.02,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002d.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002d.Mix-Headset,25.86,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002d.Mix-Headset,64.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002d.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002d.Mix-Headset,25.86,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002d.Mix-Headset,42.96,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004a.Mix-Headset,0.05,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004a.Mix-Headset,0.05,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004a.Mix-Headset,53.73,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004a.Mix-Headset,26.13,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004a.Mix-Headset,40.43,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004a.Mix-Headset,59.72,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004a.Mix-Headset,30.09,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004a.Mix-Headset,30.09,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004b.Mix-Headset,0.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004b.Mix-Headset,56.35,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004b.Mix-Headset,25.95,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004b.Mix-Headset,0.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004b.Mix-Headset,30.55,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004b.Mix-Headset,25.95,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004b.Mix-Headset,56.45,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004b.Mix-Headset,39.22,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004c.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004c.Mix-Headset,52.01,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004c.Mix-Headset,44.75,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004c.Mix-Headset,33.12,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004c.Mix-Headset,25.77,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004c.Mix-Headset,32.82,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2004c.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004c.Mix-Headset,25.77,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2004d.Mix-Headset,50.83,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
