file	main
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr30_sub_clean	26.03
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr30_test15_clean	16.47
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr30_test30_clean	8.89
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr30_test5_clean	24.04
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr5_clean	31.92
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr5_sub_clean	31.36
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr5_test15_clean	24.98
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr5_test30_clean	20.59
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr5_test5_clean	29.65
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_clean	35.53
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_sub_clean	37.06
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_test15_clean	25.39
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_test30_clean	15.93
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_test5_clean	34.02
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_clean	34.86
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_sub_clean	34.27
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_test15_clean	24.26
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_test30_clean	14.26
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_test5_clean	33.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_clean	37.07
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_sub_clean	34.27
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_test15_clean	28.57
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_test30_clean	20.90
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_test5_clean	35.73
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_clean	28.69
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_sub_clean	14.67
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test15_clean	22.55
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test30_clean	15.08
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test5_clean	28.31
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_clean	26.97
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_sub_clean	19.30
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test15_clean	20.50
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test30_clean	12.74
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test5_clean	26.56
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_clean	29.32
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_sub_clean	22.23
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test15_clean	23.97
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test30_clean	17.70
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test5_clean	28.98
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_clean	33.16
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_clo_clean	32.82
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_far_clean	30.64
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_clean	33.32
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_clo_clean	32.74
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_far_clean	30.70
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_tv_clean	40.52
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_clean	33.82
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_clo_clean	32.94
